ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity
02354,"['60', '65', '14', '19']",11.130788586957124,0.7182059508784978,0.24985493045636398,8.461731035554829,15.12887813331575,16.673368327324184,15.026564683732616,55.52,15.561,13.68,0.8840585606531353,282.6,109.88000000000002,98.55999999999999,121.64,1.145099407893243,3.0550762293232356,10.2,4.571200000000001,9.550666666666666,0.10896981634421793,-0.9877110868361116,1.714461595192237,0.09691520849753035,2.9598473522654696,10.351921349483458,0.6790327272727272
02355,"['60', '65', '15', '20']",11.260104028199212,0.655093023630395,0.2911864191584234,8.30435969005434,15.294654728108215,16.466231170478864,15.449961721780618,54.64,15.081,13.36,0.8895719495738723,303.59999999999997,106.61333333333334,96.77333333333333,120.51333333333332,1.1049697949296498,2.901864155499493,10.08,4.4624,9.395199999999999,0.1410672413381805,-0.9631908608583235,1.6006802213704299,0.09684025567623016,2.9473570977040424,11.282244366312744,0.8154836363636364
02356,"['60', '65', '16', '21']",11.257042103704334,0.5852564840890795,0.33321662581365036,8.510870247530711,14.33394411081486,13.245268223477387,15.427361900995358,53.88,14.841,13.2,0.8917069334704816,322.69333333333327,97.25333333333332,96.49666666666666,121.5,0.7585041193354592,2.6153066452486144,9.52,4.1088,8.542933333333332,0.2083088483076959,-0.8703844028275054,1.3049399542110571,0.09658728350933195,2.920625900575894,11.721964857134804,0.9174545454545454
02357,"['60', '65', '17', '22']",10.992699223206307,0.5487844326280982,0.3496970252700894,8.586741885559217,12.916221983193559,9.529505994153247,14.839487663231358,53.16,15.081,13.44,0.8929878480966283,324.61333333333334,82.74666666666666,102.08666666666667,128.95666666666665,0.3044836183723721,2.0793605569348,8.6,3.551999999999999,7.1495999999999995,0.34915584530988314,-0.6852662388684194,0.9896028943902171,0.0008606555311183694,2.877676163954827,11.559669071060181,0.8637454545454546
02358,"['60', '65', '18', '23']",10.389798526535715,0.6843974776122662,0.2704270773335861,8.7079293903445,13.344299382621218,7.6093444072894645,13.835152250333044,52.6,16.041,14.36,0.8946645180762873,318.64,70.14666666666668,113.61333333333334,143.70666666666665,-0.10900102521974774,1.6597202663442518,7.64,3.0320000000000005,5.421733333333334,0.43326693145624484,-0.5563567929766101,0.802344585868951,0.0007890117873134699,2.863023360922448,10.795231104979363,0.6475200000000001
02359,"['60', '65', '19', '24']",9.63405013100782,0.7838261495149346,0.19353946696795565,9.016260080573089,14.321344262609946,8.8328069681891,12.809663840439912,52.68,17.601,15.84,0.8964216736947972,306.67999999999995,61.52,129.32666666666665,164.4633333333333,-0.43149604876562586,1.3476914346139397,6.92,2.6864000000000003,4.196,0.4374233744253596,-0.5366064432825324,0.6425964707382975,0.0007190393267412671,2.8555766095825295,9.539819718288708,0.4349963636363636
02360,"['60', '65', '20', '25']",8.878981972223011,0.7365175607778519,0.21597646626524078,8.943326699284226,14.72078027104948,10.489451983534702,12.176818677797861,53.32,19.441,17.84,0.9132921806359151,298.4533333333334,57.19999999999999,148.87333333333333,190.23999999999995,-0.703399806482846,1.0065709358718193,6.6,2.528,3.8405333333333336,0.4119734727946182,-0.6244841546868314,0.5321653977601524,0.0006642961155194812,2.840594270396074,8.574000340115047,0.28449454545454544
02361,"['60', '65', '21', '26']",8.245351458458172,0.6242863558319803,0.3034458754044642,8.647756530658835,16.178522889195563,13.439804086681447,12.203749945254955,54.64,21.320999999999998,19.92,0.9318233977938191,290.64000000000004,60.81333333333333,168.20666666666668,216.70333333333332,-0.7496563759624449,0.8405960199701162,6.84,2.6672000000000002,4.254133333333333,0.3726703420171774,-0.7667281676863942,0.591638214043087,0.0007340946183839534,2.8506219882068495,7.634971517807053,0.10192727272727271
02362,"['60', '65', '22', '27']",7.90181565231602,0.5081817917744873,0.41448151764979174,8.195406760555315,18.15376464900641,16.96711210781984,13.234004739663357,56.68,22.881,21.64,0.9453066843649296,300.78666666666663,71.03999999999999,184.29333333333332,239.05999999999997,-0.6967753735137194,0.8053516458062059,7.4,3.0608,5.164133333333333,0.23378215738853966,-0.9827727964666204,0.721770164128299,0.0007599534049046135,2.8865327741303566,7.201038667322529,0.05294545454545454
02363,"['60', '65', '23', '28']",7.919370817536851,0.4908496189413137,0.43000534988106653,8.147621869662935,18.24825739513766,18.872355011208935,14.411508354679022,59.48,23.881,22.64,0.9485137435334322,319.44,83.41333333333333,193.68333333333328,250.36333333333332,-0.6519691016348093,0.8515084688152182,8.12,3.512,6.404533333333334,0.15546936647425755,-1.122074891984111,0.9652420316015443,0.0009065160863934122,2.907420918109817,7.3077448051404765,0.029985454545454548
