ID,coords,att_12,att_12_m_I,att_12_g_C,sect1,sect2,sect3,sect4,maximo,maximo_2,maximo_3,ratio32,area1,area12,area2,area3,kurt_1,kurt_2,middle_maximo,mean,var,skew,kurt,geo_mean,har_mean,entr,att_12_prof,porosity,l_n_voids,l_RVB
03551,"['95', '100', '36', '41']",11.898405912166782,0.6784377417578267,0.23333393124503563,10.254436964414232,16.266600862998203,11.693293591378655,10.61734848498441,51.8,13.280999999999999,19.72,1.7016247359737418,319.8933333333334,71.68,81.54666666666667,244.23666666666665,-0.30160622960009403,4.205849679265462,7.88,3.1904000000000003,4.4013333333333335,0.39567743479147843,-0.13387664210506256,1.109005277642714,0.001046207941725552,2.9684410798674663,11.360821296576347,0.09581538461538461,6,0.6132162991507886
03552,"['96', '101', '0', '5']",11.050615718399154,0.3090436423317485,0.6206671398093687,7.027230387942428,11.067102381585935,11.42029693879654,16.749072973247873,58.88,16.561,16.92,1.097004651978489,346.70666666666665,65.24,112.80333333333334,206.5366666666667,0.4977199228065853,1.3358417283151751,5.16,2.776,1.8077333333333334,0.010125821541075084,-0.5721766055356234,1.7912959251244527,0.7549992800917849,3.0695299130766514,10.56254455016531,0.10686495726495726,6,0.5577452172243905
03553,"['96', '101', '1', '6']",11.159954092265538,0.2916438780828506,0.6160227115034144,7.0463293734587635,11.68177169608568,12.123408093597666,16.848776069969446,62.08,17.201,17.8,1.114077282230334,358.58666666666664,72.41333333333333,116.15333333333334,204.08999999999997,0.5080817769833925,1.4260668119113231,5.8,3.0704000000000002,2.357466666666667,0.03281495860511631,-0.5868512391625049,2.0413373860936868,0.9218339976799615,3.0681810276607084,10.497986854986314,0.222174358974359,8,0.5498722801834242
03554,"['96', '101', '2', '7']",11.305323636386953,0.43349429295071384,0.443338886780181,7.059385155810753,15.546419225298358,16.539465590076023,17.42891101656822,68.6,18.641,17.88,1.0035553594983004,374.0399999999999,84.16,122.10666666666665,190.58,0.7875110785338444,1.7831983835321976,6.88,3.5440000000000005,3.3641333333333336,0.08310987977718672,-0.5421718520727176,2.327656532445795,0.921983941756081,3.0735101312105275,11.168743054796288,0.18829401709401708,10,0.553743917495824
03555,"['96', '101', '3', '8']",11.591887176104443,0.5625010118708437,0.312796113606165,7.137771856642349,19.250933591573457,21.21595148239476,18.51997208584028,75.28,19.840999999999998,17.68,0.8914224429031583,380.9599999999999,95.34666666666666,125.22666666666667,175.57666666666668,1.1669456581227822,2.2640226252717435,8.04,3.992,4.6975999999999996,0.16425178548976768,-0.5069926626303426,2.501320383650722,1.025434699225361,3.0676103534942256,11.721964857134804,0.22255726495726494,9,0.5367292389935174
03556,"['96', '101', '4', '9']",12.069414862115627,0.6285944299660432,0.2625972104035703,7.68390930276383,19.446654729172483,20.58130852348902,18.971467915662878,79.16,19.921,17.92,0.9021896584978562,380.7333333333333,102.14666666666666,122.83333333333334,167.62000000000003,1.3339746932188419,2.620466030034316,9.16,4.2976,6.24,0.25928269199436693,-0.4637883641478471,2.427498232801664,0.8176299893907506,3.0401677985896782,11.828500181902841,0.37885811965811966,13,0.5162792376552122
03557,"['96', '101', '5', '10']",12.67964642421498,0.6607725763822003,0.23668655657166554,8.081186119094799,18.80112085275449,18.187975120695548,19.455950911933837,80.96,19.201,17.28,0.9036707322239702,374.58666666666664,105.16,117.53000000000002,157.67333333333335,1.4378518754746066,2.7282085033741175,10.0,4.4512,7.483066666666666,0.3433511265420872,-0.46327579802669644,2.2705966330280067,0.5903076932823372,3.015275485265938,12.802696294676654,0.5038837606837607,14,0.49415819684366225
03558,"['96', '101', '6', '11']",13.191222158896126,0.7151886894852602,0.21927624697169104,9.192275165775342,18.387514785916217,14.903300417423452,19.42445195106035,81.4,18.320999999999998,16.2,0.8866393163868652,348.44,106.42666666666666,110.00666666666667,149.13,1.6378069021818096,2.915252720725548,10.36,4.5152,8.301599999999999,0.3382389585033685,-0.5080891200704412,2.050686739216159,0.21575152218351693,2.996388540106977,13.166870941350108,0.5228991452991453,15,0.4873290268588017
03559,"['96', '101', '7', '12']",13.516119853134139,0.7168310281082333,0.2280432333971362,10.287521792097575,18.18459738487595,15.278571630434854,19.30777218509447,80.96,17.561,15.08,0.8605664780972028,316.8666666666667,107.76,102.51666666666667,141.25333333333333,1.8148462155399019,3.109467200335089,10.36,4.5776,8.526133333333332,0.30577760627930245,-0.6419474799566792,2.1799246556270955,0.4918628355845022,2.994274751673465,13.663109965818867,0.6336205128205128,14,0.48393710813989876
03560,"['96', '101', '8', '13']",13.65015392538672,0.7136084558938656,0.22569095011748133,11.116543508128643,18.142702842219343,14.39070326226075,18.873410510980083,80.04,17.041,14.2,0.834137662039337,294.4266666666666,110.43999999999998,97.32333333333334,133.89333333333332,1.9042051990181026,3.214534208745696,10.24,4.6912,8.458,0.24368214938836388,-0.7589630244388552,2.377878637027708,0.7077172761658695,3.001477845391329,13.556584364702914,0.7054290598290598,15,0.4882474386685923
03561,"['96', '101', '9', '14']",13.713575766126475,0.7117875293464917,0.2080350481933773,11.521628896869093,18.02557701158152,15.13389774070017,17.97976638882624,78.76,16.561,13.6,0.8217215589170707,279.37333333333333,113.06666666666666,93.83333333333331,128.23333333333332,1.9488200487891343,3.226575036125949,10.08,4.76,8.1428,0.17403922018178825,-0.8139532000649302,2.4720528412623906,0.8379145008041823,3.009879497978809,13.339527951810314,0.6013401709401709,17,0.49694130489163807
03562,"['96', '101', '10', '15']",13.706947986350979,0.6687433309761398,0.2296415826226737,12.031277703404635,17.727219322141984,16.68981953809852,16.922798447900515,77.28,16.160999999999998,13.16,0.8135709468121465,265.62666666666667,115.38666666666666,90.67666666666666,123.34,1.9730294743003762,3.4609686656652916,10.12,4.8288,8.304133333333334,0.16260744284753673,-0.8182285114134712,2.486559616720583,0.7273292660410031,3.0126537707459704,13.116902769523778,0.606557264957265,20,0.5187974162711788
